pokemon,habilidades
Oinkologne,"Lingering Aroma,Gluttony,Thick Fat,Aroma Veil,Gluttony,Thick Fat"
Lechonk,"Aroma Veil,Gluttony,Thick Fat"
Quaquaval,"Torrent,Moxie"
Quaxwell,"Torrent,Moxie"
Quaxly,"Torrent,Moxie"
Skeledirge,"Blaze,Unaware"
Crocalor,"Blaze,Unaware"
Fuecoco,"Blaze,Unaware"
Meowscarada,"Overgrow,Protean"
Floragato,"Overgrow,Protean"
Sprigatito,"Overgrow,Protean"
Enamorus,"Cute Charm,Contrary,Overcoat"
Overqwil,"Poison Point,Swift Swim,Intimidate"
Sneasler,"Pressure,Unburden,Poison Touch"
Basculegion,"Swift Swim,Adaptability,Mold Breaker,Swift Swim,Adaptability,Mold Breaker"
Ursaluna,"Guts,Bulletproof,Unnerve,Mind's Eye"
Kleavor,"Swarm,Sheer Force,Sharpness"
Wyrdeer,"Intimidate,Frisk,Sap Sipper"
Calyrex,"Unnerve,As One,As One"
Spectrier,Grim Neigh
Glastrier,Chilling Neigh
Regidrago,Dragon's Maw
Regieleki,Transistor
Zarude,Leaf Guard
Urshifu,"Unseen Fist,Unseen Fist"
Kubfu,Inner Focus
Eternatus,Pressure
Zamazenta,"Dauntless Shield,Dauntless Shield"
Zacian,"Intrepid Sword,Intrepid Sword"
Dragapult,"Clear Body,Infiltrator,Cursed Body"
Drakloak,"Clear Body,Infiltrator,Cursed Body"
Dreepy,"Clear Body,Infiltrator,Cursed Body"
Duraludon,"Light Metal,Heavy Metal,Stalwart"
Arctovish,"Water Absorb,Ice Body,Slush Rush"
Dracovish,"Water Absorb,Strong Jaw,Sand Rush"
Arctozolt,"Volt Absorb,Static,Slush Rush"
Dracozolt,"Volt Absorb,Hustle,Sand Rush"
Copperajah,"Sheer Force,Heavy Metal"
Cufant,"Sheer Force,Heavy Metal"
Morpeko,"Hunger Switch,Hunger Switch"
Indeedee,"Inner Focus,Synchronize,Psychic Surge,Own Tempo,Synchronize,Psychic Surge"
Eiscue,"Ice Face,Ice Face"
Stonjourner,Power Spot
Frosmoth,"Shield Dust,Ice Scales"
Snom,"Shield Dust,Ice Scales"
Pincurchin,"Lightning Rod,Electric Surge"
Falinks,"Battle Armor,Defiant"
Alcremie,"Sweet Veil,Aroma Veil"
Milcery,"Sweet Veil,Aroma Veil"
Runerigus,Wandering Spirit
Mr. Rime,"Tangled Feet,Screen Cleaner,Ice Body"
Sirfetch'd,"Steadfast,Scrappy"
Cursola,"Weak Armor,Perish Body"
Perrserker,"Battle Armor,Tough Claws,Steely Spirit"
Obstagoon,"Reckless,Guts,Defiant"
Grimmsnarl,"Prankster,Frisk,Pickpocket"
Morgrem,"Prankster,Frisk,Pickpocket"
Impidimp,"Prankster,Frisk,Pickpocket"
Hatterene,"Healer,Anticipation,Magic Bounce"
Hattrem,"Healer,Anticipation,Magic Bounce"
Hatenna,"Healer,Anticipation,Magic Bounce"
Polteageist,"Weak Armor,Cursed Body"
Sinistea,"Weak Armor,Cursed Body"
Grapploct,"Limber,Technician"
Clobbopus,"Limber,Technician"
Centiskorch,"Flash Fire,White Smoke,Flame Body"
Sizzlipede,"Flash Fire,White Smoke,Flame Body"
Toxtricity,"Punk Rock,Plus,Technician,Punk Rock,Minus,Technician"
Toxel,"Rattled,Static,Klutz"
Barraskewda,"Swift Swim,Propeller Tail"
Arrokuda,"Swift Swim,Propeller Tail"
Cramorant,Gulp Missile
Sandaconda,"Sand Spit,Shed Skin,Sand Veil"
Silicobra,"Sand Spit,Shed Skin,Sand Veil"
Appletun,"Ripen,Gluttony,Thick Fat"
Flapple,"Ripen,Gluttony,Hustle"
Applin,"Ripen,Gluttony,Bulletproof"
Coalossal,"Steam Engine,Flame Body,Flash Fire"
Carkol,"Steam Engine,Flame Body,Flash Fire"
Rolycoly,"Steam Engine,Heatproof,Flash Fire"
Boltund,"Strong Jaw,Competitive"
Yamper,"Ball Fetch,Rattled"
Drednaw,"Strong Jaw,Shell Armor,Swift Swim"
Chewtle,"Strong Jaw,Shell Armor,Swift Swim"
Dubwool,"Fluffy,Steadfast,Bulletproof"
Wooloo,"Fluffy,Run Away,Bulletproof"
Eldegoss,"Cotton Down,Regenerator,Effect Spore"
Gossifleur,"Cotton Down,Regenerator,Effect Spore"
Thievul,"Run Away,Unburden,Stakeout"
Nickit,"Run Away,Unburden,Stakeout"
Orbeetle,"Swarm,Frisk,Telepathy"
Dottler,"Swarm,Compound Eyes,Telepathy"
Blipbug,"Swarm,Compound Eyes,Telepathy"
Corviknight,"Pressure,Unnerve,Mirror Armor"
Corvisquire,"Keen Eye,Unnerve,Big Pecks"
Rookidee,"Keen Eye,Unnerve,Big Pecks"
Greedent,"Cheek Pouch,Gluttony"
Skwovet,"Cheek Pouch,Gluttony"
Inteleon,"Torrent,Sniper"
Drizzile,"Torrent,Sniper"
Sobble,"Torrent,Sniper"
Cinderace,"Blaze,Libero"
Raboot,"Blaze,Libero"
Scorbunny,"Blaze,Libero"
Rillaboom,"Overgrow,Grassy Surge"
Thwackey,"Overgrow,Grassy Surge"
Grookey,"Overgrow,Grassy Surge"
Melmetal,Iron Fist
Meltan,Magnet Pull
Zeraora,Volt Absorb
Blacephalon,Beast Boost
Stakataka,Beast Boost
Naganadel,Beast Boost
Poipole,Beast Boost
Marshadow,Technician
Magearna,Soul-Heart
Necrozma,"Prism Armor,Prism Armor,Prism Armor,Neuroforce"
Guzzlord,Beast Boost
Kartana,Beast Boost
Celesteela,Beast Boost
Xurkitree,Beast Boost
Pheromosa,Beast Boost
Buzzwole,Beast Boost
Nihilego,Beast Boost
Lunala,Shadow Shield
Solgaleo,Full Metal Body
Cosmoem,Sturdy
Cosmog,Unaware
Tapu Fini,"Misty Surge,Telepathy"
Tapu Bulu,"Grassy Surge,Telepathy"
Tapu Lele,"Psychic Surge,Telepathy"
Tapu Koko,"Electric Surge,Telepathy"
Kommo-o,"Bulletproof,Soundproof,Overcoat"
Hakamo-o,"Bulletproof,Soundproof,Overcoat"
Jangmo-o,"Bulletproof,Soundproof,Overcoat"
Dhelmise,Steelworker
Drampa,"Berserk,Sap Sipper,Cloud Nine"
Bruxish,"Dazzling,Strong Jaw,Wonder Skin"
Mimikyu,Disguise
Togedemaru,"Iron Barbs,Lightning Rod,Sturdy"
Turtonator,Shell Armor
Komala,Comatose
Minior,"Shields Down,Shields Down"
Silvally,RKS System
Type: Null,Battle Armor
Pyukumuku,"Innards Out,Unaware"
Palossand,"Water Compaction,Sand Veil"
Sandygast,"Water Compaction,Sand Veil"
Golisopod,Emergency Exit
Wimpod,Wimp Out
Passimian,"Receiver,Defiant"
Oranguru,"Inner Focus,Telepathy,Symbiosis"
Comfey,"Flower Veil,Triage,Natural Cure"
Tsareena,"Leaf Guard,Queenly Majesty,Sweet Veil"
Steenee,"Leaf Guard,Oblivious,Sweet Veil"
Bounsweet,"Leaf Guard,Oblivious,Sweet Veil"
Bewear,"Fluffy,Klutz,Unnerve"
Stufful,"Fluffy,Klutz,Cute Charm"
Salazzle,"Corrosion,Oblivious"
Salandit,"Corrosion,Oblivious"
Shiinotic,"Illuminate,Effect Spore,Rain Dish"
Morelull,"Illuminate,Effect Spore,Rain Dish"
Lurantis,"Leaf Guard,Contrary"
Fomantis,"Leaf Guard,Contrary"
Araquanid,"Water Bubble,Water Absorb"
Dewpider,"Water Bubble,Water Absorb"
Mudsdale,"Own Tempo,Stamina,Inner Focus"
Mudbray,"Own Tempo,Stamina,Inner Focus"
Toxapex,"Merciless,Limber,Regenerator"
Mareanie,"Merciless,Limber,Regenerator"
Wishiwashi,"Schooling,Schooling"
Lycanroc,"Keen Eye,Sand Rush,Steadfast,Keen Eye,Vital Spirit,No Guard,Tough Claws"
Rockruff,"Keen Eye,Vital Spirit,Steadfast,Own Tempo"
Ribombee,"Honey Gather,Shield Dust,Sweet Veil"
Cutiefly,"Honey Gather,Shield Dust,Sweet Veil"
Oricorio,"Dancer,Dancer,Dancer,Dancer"
Crabominable,"Hyper Cutter,Iron Fist,Anger Point"
Crabrawler,"Hyper Cutter,Iron Fist,Anger Point"
Vikavolt,Levitate
Charjabug,Battery
Grubbin,Swarm
Gumshoos,"Strong Jaw,Stakeout,Adaptability"
Yungoos,"Strong Jaw,Stakeout,Adaptability"
Toucannon,"Keen Eye,Skill Link,Sheer Force"
Trumbeak,"Keen Eye,Skill Link,Pickup"
Pikipek,"Keen Eye,Skill Link,Pickup"
Primarina,"Torrent,Liquid Voice"
Brionne,"Torrent,Liquid Voice"
Popplio,"Torrent,Liquid Voice"
Incineroar,"Blaze,Intimidate"
Torracat,"Blaze,Intimidate"
Litten,"Blaze,Intimidate"
Decidueye,"Overgrow,Long Reach,Overgrow,Scrappy"
Dartrix,"Overgrow,Long Reach"
Rowlet,"Overgrow,Long Reach"
Volcanion,Water Absorb
Hoopa,"Magician,Magician"
Diancie,"Clear Body,Magic Bounce"
Zygarde,"Aura Break,Power Construct,Aura Break,Power Construct,Power Construct"
Yveltal,Dark Aura
Xerneas,Fairy Aura
Noivern,"Frisk,Infiltrator,Telepathy"
Noibat,"Frisk,Infiltrator,Telepathy"
Avalugg,"Own Tempo,Ice Body,Sturdy,Strong Jaw,Ice Body,Sturdy"
Bergmite,"Own Tempo,Ice Body,Sturdy"
Gourgeist,"Pickup,Frisk,Insomnia,Pickup,Frisk,Insomnia,Pickup,Frisk,Insomnia,Pickup,Frisk,Insomnia"
Pumpkaboo,"Pickup,Frisk,Insomnia,Pickup,Frisk,Insomnia,Pickup,Frisk,Insomnia,Pickup,Frisk,Insomnia"
Trevenant,"Natural Cure,Frisk,Harvest"
Phantump,"Natural Cure,Frisk,Harvest"
Klefki,"Prankster,Magician"
Goodra,"Sap Sipper,Hydration,Gooey,Sap Sipper,Shell Armor,Gooey"
Sliggoo,"Sap Sipper,Hydration,Gooey,Sap Sipper,Shell Armor,Gooey"
Goomy,"Sap Sipper,Hydration,Gooey"
Carbink,"Clear Body,Sturdy"
Dedenne,"Cheek Pouch,Pickup,Plus"
Hawlucha,"Limber,Unburden,Mold Breaker"
Sylveon,"Cute Charm,Pixilate"
Aurorus,"Refrigerate,Snow Warning"
Amaura,"Refrigerate,Snow Warning"
Tyrantrum,"Strong Jaw,Rock Head"
Tyrunt,"Strong Jaw,Sturdy"
Heliolisk,"Dry Skin,Sand Veil,Solar Power"
Helioptile,"Dry Skin,Sand Veil,Solar Power"
Clawitzer,Mega Launcher
Clauncher,Mega Launcher
Dragalge,"Poison Point,Poison Touch,Adaptability"
Skrelp,"Poison Point,Poison Touch,Adaptability"
Barbaracle,"Sniper,Tough Claws,Pickpocket"
Binacle,"Sniper,Tough Claws,Pickpocket"
Malamar,"Contrary,Suction Cups,Infiltrator"
Inkay,"Contrary,Suction Cups,Infiltrator"
Slurpuff,"Sweet Veil,Unburden"
Swirlix,"Sweet Veil,Unburden"
Aromatisse,"Healer,Aroma Veil"
Spritzee,"Healer,Aroma Veil"
Aegislash,"Stance Change,Stance Change"
Doublade,No Guard
Honedge,No Guard
Meowstic,"Keen Eye,Infiltrator,Prankster,Keen Eye,Infiltrator,Competitive"
Espurr,"Keen Eye,Infiltrator,Own Tempo"
Furfrou,Fur Coat
Pangoro,"Iron Fist,Mold Breaker,Scrappy"
Pancham,"Iron Fist,Mold Breaker,Scrappy"
Gogoat,"Sap Sipper,Grass Pelt"
Skiddo,"Sap Sipper,Grass Pelt"
Florges,"Flower Veil,Symbiosis"
Floette,"Flower Veil,Symbiosis"
Flabébé,"Flower Veil,Symbiosis"
Pyroar,"Rivalry,Unnerve,Moxie"
Litleo,"Rivalry,Unnerve,Moxie"
Vivillon,"Shield Dust,Compound Eyes,Friend Guard"
Spewpa,"Shed Skin,Friend Guard"
Scatterbug,"Shield Dust,Compound Eyes,Friend Guard"
Talonflame,"Flame Body,Gale Wings"
Fletchinder,"Flame Body,Gale Wings"
Fletchling,"Big Pecks,Gale Wings"
Diggersby,"Pickup,Cheek Pouch,Huge Power"
Bunnelby,"Pickup,Cheek Pouch,Huge Power"
Greninja,"Torrent,Protean,Battle Bond"
Frogadier,"Torrent,Protean"
Froakie,"Torrent,Protean"
Delphox,"Blaze,Magician"
Braixen,"Blaze,Magician"
Fennekin,"Blaze,Magician"
Chesnaught,"Overgrow,Bulletproof"
Quilladin,"Overgrow,Bulletproof"
Chespin,"Overgrow,Bulletproof"
Genesect,Download
Meloetta,"Serene Grace,Serene Grace"
Keldeo,"Justified,Justified"
Kyurem,"Pressure,Turboblaze,Teravolt"
Landorus,"Sand Force,Sheer Force,Intimidate"
Zekrom,Teravolt
Reshiram,Turboblaze
Thundurus,"Prankster,Defiant,Volt Absorb"
Tornadus,"Prankster,Defiant,Regenerator"
Virizion,Justified
Terrakion,Justified
Cobalion,Justified
Volcarona,"Flame Body,Swarm"
Larvesta,"Flame Body,Swarm"
Hydreigon,Levitate
Zweilous,Hustle
Deino,Hustle
Durant,"Swarm,Hustle,Truant"
Heatmor,"Gluttony,Flash Fire,White Smoke"
Mandibuzz,"Big Pecks,Overcoat,Weak Armor"
Vullaby,"Big Pecks,Overcoat,Weak Armor"
Braviary,"Keen Eye,Sheer Force,Defiant,Keen Eye,Sheer Force,Tinted Lens"
Rufflet,"Keen Eye,Sheer Force,Hustle"
Bouffalant,"Reckless,Sap Sipper,Soundproof"
Bisharp,"Defiant,Inner Focus,Pressure"
Pawniard,"Defiant,Inner Focus,Pressure"
Golurk,"Iron Fist,Klutz,No Guard"
Golett,"Iron Fist,Klutz,No Guard"
Druddigon,"Rough Skin,Sheer Force,Mold Breaker"
Mienshao,"Inner Focus,Regenerator,Reckless"
Mienfoo,"Inner Focus,Regenerator,Reckless"
Stunfisk,"Static,Limber,Sand Veil,Mimicry"
Accelgor,"Hydration,Sticky Hold,Unburden"
Shelmet,"Hydration,Shell Armor,Overcoat"
Cryogonal,Levitate
Beartic,"Snow Cloak,Slush Rush,Swift Swim"
Cubchoo,"Snow Cloak,Slush Rush,Rattled"
Haxorus,"Rivalry,Mold Breaker,Unnerve"
Fraxure,"Rivalry,Mold Breaker,Unnerve"
Axew,"Rivalry,Mold Breaker,Unnerve"
Chandelure,"Flash Fire,Flame Body,Infiltrator"
Lampent,"Flash Fire,Flame Body,Infiltrator"
Litwick,"Flash Fire,Flame Body,Infiltrator"
Beheeyem,"Telepathy,Synchronize,Analytic"
Elgyem,"Telepathy,Synchronize,Analytic"
Eelektross,Levitate
Eelektrik,Levitate
Tynamo,Levitate
Klinklang,"Plus,Minus,Clear Body"
Klang,"Plus,Minus,Clear Body"
Klink,"Plus,Minus,Clear Body"
Ferrothorn,"Iron Barbs,Anticipation"
Ferroseed,Iron Barbs
Galvantula,"Compound Eyes,Unnerve,Swarm"
Joltik,"Compound Eyes,Unnerve,Swarm"
Alomomola,"Healer,Hydration,Regenerator"
Jellicent,"Water Absorb,Cursed Body,Damp"
Frillish,"Water Absorb,Cursed Body,Damp"
Amoonguss,"Effect Spore,Regenerator"
Foongus,"Effect Spore,Regenerator"
Escavalier,"Swarm,Shell Armor,Overcoat"
Karrablast,"Swarm,Shed Skin,No Guard"
Emolga,"Static,Motor Drive"
Sawsbuck,"Chlorophyll,Sap Sipper,Serene Grace"
Deerling,"Chlorophyll,Sap Sipper,Serene Grace"
Vanilluxe,"Ice Body,Snow Warning,Weak Armor"
Vanillish,"Ice Body,Snow Cloak,Weak Armor"
Vanillite,"Ice Body,Snow Cloak,Weak Armor"
Swanna,"Keen Eye,Big Pecks,Hydration"
Ducklett,"Keen Eye,Big Pecks,Hydration"
Reuniclus,"Overcoat,Magic Guard,Regenerator"
Duosion,"Overcoat,Magic Guard,Regenerator"
Solosis,"Overcoat,Magic Guard,Regenerator"
Gothitelle,"Frisk,Competitive,Shadow Tag"
Gothorita,"Frisk,Competitive,Shadow Tag"
Gothita,"Frisk,Competitive,Shadow Tag"
Cinccino,"Cute Charm,Technician,Skill Link"
Minccino,"Cute Charm,Technician,Skill Link"
Zoroark,"Illusion,Illusion"
Zorua,"Illusion,Illusion"
Garbodor,"Stench,Weak Armor,Aftermath"
Trubbish,"Stench,Sticky Hold,Aftermath"
Archeops,Defeatist
Archen,Defeatist
Carracosta,"Solid Rock,Sturdy,Swift Swim"
Tirtouga,"Solid Rock,Sturdy,Swift Swim"
Cofagrigus,Mummy
Yamask,"Mummy,Wandering Spirit"
Sigilyph,"Wonder Skin,Magic Guard,Tinted Lens"
Scrafty,"Shed Skin,Moxie,Intimidate"
Scraggy,"Shed Skin,Moxie,Intimidate"
Crustle,"Sturdy,Shell Armor,Weak Armor"
Dwebble,"Sturdy,Shell Armor,Weak Armor"
Maractus,"Water Absorb,Chlorophyll,Storm Drain"
Darmanitan,"Sheer Force,Zen Mode,Sheer Force,Zen Mode,Gorilla Tactics,Zen Mode,Gorilla Tactics,Zen Mode"
Darumaka,"Hustle,Inner Focus,Hustle,Inner Focus"
Krookodile,"Intimidate,Moxie,Anger Point"
Krokorok,"Intimidate,Moxie,Anger Point"
Sandile,"Intimidate,Moxie,Anger Point"
Basculin,"Reckless,Adaptability,Mold Breaker,Rock Head,Adaptability,Mold Breaker,Rattled,Adaptability,Mold Breaker"
Lilligant,"Chlorophyll,Own Tempo,Leaf Guard,Chlorophyll,Hustle,Leaf Guard"
Petilil,"Chlorophyll,Own Tempo,Leaf Guard"
Whimsicott,"Prankster,Infiltrator,Chlorophyll"
Cottonee,"Prankster,Infiltrator,Chlorophyll"
Scolipede,"Poison Point,Swarm,Speed Boost"
Whirlipede,"Poison Point,Swarm,Speed Boost"
Venipede,"Poison Point,Swarm,Speed Boost"
Leavanny,"Swarm,Chlorophyll,Overcoat"
Swadloon,"Leaf Guard,Chlorophyll,Overcoat"
Sewaddle,"Swarm,Chlorophyll,Overcoat"
Sawk,"Sturdy,Inner Focus,Mold Breaker"
Throh,"Guts,Inner Focus,Mold Breaker"
Seismitoad,"Swift Swim,Poison Touch,Water Absorb"
Palpitoad,"Swift Swim,Hydration,Water Absorb"
Tympole,"Swift Swim,Hydration,Water Absorb"
Conkeldurr,"Guts,Sheer Force,Iron Fist"
Gurdurr,"Guts,Sheer Force,Iron Fist"
Timburr,"Guts,Sheer Force,Iron Fist"
Audino,"Healer,Regenerator,Klutz,Healer"
Excadrill,"Sand Rush,Sand Force,Mold Breaker"
Drilbur,"Sand Rush,Sand Force,Mold Breaker"
Swoobat,"Unaware,Klutz,Simple"
Woobat,"Unaware,Klutz,Simple"
Gigalith,"Sturdy,Sand Stream,Sand Force"
Boldore,"Sturdy,Weak Armor,Sand Force"
Roggenrola,"Sturdy,Weak Armor,Sand Force"
Zebstrika,"Lightning Rod,Motor Drive,Sap Sipper"
Blitzle,"Lightning Rod,Motor Drive,Sap Sipper"
Unfezant,"Big Pecks,Super Luck,Rivalry"
Tranquill,"Big Pecks,Super Luck,Rivalry"
Pidove,"Big Pecks,Super Luck,Rivalry"
Musharna,"Forewarn,Synchronize,Telepathy"
Munna,"Forewarn,Synchronize,Telepathy"
Simipour,"Gluttony,Torrent"
Panpour,"Gluttony,Torrent"
Simisear,"Gluttony,Blaze"
Pansear,"Gluttony,Blaze"
Simisage,"Gluttony,Overgrow"
Pansage,"Gluttony,Overgrow"
Liepard,"Limber,Unburden,Prankster"
Purrloin,"Limber,Unburden,Prankster"
Stoutland,"Intimidate,Sand Rush,Scrappy"
Herdier,"Intimidate,Sand Rush,Scrappy"
Lillipup,"Vital Spirit,Pickup,Run Away"
Watchog,"Illuminate,Keen Eye,Analytic"
Patrat,"Run Away,Keen Eye,Analytic"
Samurott,"Torrent,Shell Armor,Torrent,Sharpness"
Dewott,"Torrent,Shell Armor"
Oshawott,"Torrent,Shell Armor"
Emboar,"Blaze,Reckless"
Pignite,"Blaze,Thick Fat"
Tepig,"Blaze,Thick Fat"
Serperior,"Overgrow,Contrary"
Servine,"Overgrow,Contrary"
Snivy,"Overgrow,Contrary"
Victini,Victory Star
Arceus,Multitype
Shaymin,"Natural Cure,Serene Grace"
Darkrai,Bad Dreams
Manaphy,Hydration
Phione,Hydration
Cresselia,Levitate
Giratina,"Pressure,Telepathy,Levitate"
Regigigas,Slow Start
Heatran,"Flash Fire,Flame Body"
Palkia,"Pressure,Telepathy,Pressure,Telepathy"
Dialga,"Pressure,Telepathy,Pressure,Telepathy"
Azelf,Levitate
Mesprit,Levitate
Uxie,Levitate
Rotom,"Levitate,Levitate,Levitate,Levitate,Levitate,Levitate"
Froslass,"Snow Cloak,Cursed Body"
Dusknoir,"Pressure,Frisk"
Probopass,"Sturdy,Magnet Pull,Sand Force"
Gallade,"Steadfast,Sharpness,Justified,Inner Focus"
Porygon-Z,"Adaptability,Download,Analytic"
Mamoswine,"Oblivious,Snow Cloak,Thick Fat"
Gliscor,"Hyper Cutter,Sand Veil,Poison Heal"
Glaceon,"Snow Cloak,Ice Body"
Leafeon,"Leaf Guard,Chlorophyll"
Yanmega,"Speed Boost,Tinted Lens,Frisk"
Togekiss,"Hustle,Serene Grace,Super Luck"
Magmortar,"Flame Body,Vital Spirit"
Electivire,"Motor Drive,Vital Spirit"
Tangrowth,"Chlorophyll,Leaf Guard,Regenerator"
Rhyperior,"Lightning Rod,Solid Rock,Reckless"
Lickilicky,"Own Tempo,Oblivious,Cloud Nine"
Magnezone,"Magnet Pull,Sturdy,Analytic"
Weavile,"Pressure,Pickpocket"
Abomasnow,"Snow Warning,Soundproof,Snow Warning"
Snover,"Snow Warning,Soundproof"
Mantyke,"Swift Swim,Water Absorb,Water Veil"
Lumineon,"Swift Swim,Storm Drain,Water Veil"
Finneon,"Swift Swim,Storm Drain,Water Veil"
Carnivine,Levitate
Toxicroak,"Anticipation,Dry Skin,Poison Touch"
